tipo;Variável;exemplo;descrição
diagnósticos;dr10;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dr51;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dr52;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dr68;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dr69;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dy84;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dz00;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dz01;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dz13;0;A doença está listada no histórico do usuário (veja lista de doença)
diagnósticos;dz94;0;A doença está listada no histórico do usuário (veja lista de doença)
